,brandnm,goodsnm,4days,7days
293,MIU MIU,check pattern skirt grey,24000,34000
294,YVES SAINT LAURENT,button check pattern wool singlebreasted-jacket brown,39000,49000
295,BURBERRY,embroidery lettering pattern wool sweater grey,24000,34000
296,BURBERRY,belt basic pattern trench-coat navy,39000,49000
297,YVES SAINT LAURENT,pocket check pattern sweater blue,19000,29000
298,BURBERRY,pocket basic pattern slacks beige,24000,34000
299,PRADA,gradation color padding jumper,34000,44000
300,JIL SANDER,basic pattern cashmere sweater grey,24000,34000
301,BURBERRY,button basic pattern coat brown,39000,49000
302,BURBERRY,hoodie basic pattern coat navy,39000,49000
303,BURBERRY,button basic pattern sweat-shirts black,24000,34000
304,SALVATORE FERRAGAMO,button basic pattern padding-outer ivory,39000,49000
305,DOLCE & GABBANA,button basic pattern wool jacket charcoal,39000,49000
306,MAX MARA,button basic pattern wool doublebreasted-coat brown,39000,49000
307,GUCCI,pocket basic pattern top white,24000,34000
308,CHANEL,strap basic pattern top black,24000,34000
309,BURBERRY,belt basic pattern trench-coat red,39000,49000
310,CELINE,roll up basic pattern slacks black,24000,34000
311,LOUIS VUITTON,pocket basic pattern slacks burgundy,24000,34000
312,MAX MARA,pocket graphics pattern cardigan brown,39000,49000
313,MIU MIU,basic pattern skirt black,24000,34000
314,BURBERRY,belt basic pattern trench-coat beige,39000,49000
315,HUGO BOSS,pocket basic pattern shirts white,19000,29000
316,YVES SAINT LAURENT,button basic pattern coat black,39000,49000
317,PRADA,pocket basic pattern padding-outer orange,39000,49000
318,ISSEY MIYAKE,geometric pattern H-Line dress black,39000,49000
319,BURBERRY,basic pattern wool top black,24000,34000
320,BURBERRY,pocket basic pattern blouson khaki,39000,49000
321,GIVENCHY,basic pattern A-Line dress black,39000,49000
322,SORRY TOO MUCH LOVE,strap check pattern coat indigo,29000,39000
323,BURBERRY,pleats check pattern wool pleats-skirt,24000,34000
324,PRADA,hoodie Quilting pattern padding-outer black,39000,49000
325,BURBERRY,button basic pattern polo-shirts pink,24000,34000
326,JIL SANDER,shirring detail shirt dress white,34000,44000
327,PRADA,hood design wind breaker black,39000,49000
328,BURBERRY,flower pattern skirt,24000,34000
329,ALEXANDER MCQUEEN,ruffle geometric pattern knit-dress blue,39000,49000
330,BURBERRY,basic pattern t-shirts black,24000,34000
331,MIU MIU,leather detail jacket black,34000,44000
332,DOLCE & GABBANA,button dots pattern shirts,24000,34000
333,ISSEY MIYAKE,geometric pattern H-Line dress beige,39000,49000
334,BURBERRY,pocket basic pattern singlebreasted-jacket beige,39000,49000
335,MAX MARA,button basic pattern slacks black,24000,34000
336,MARNI,pocket basic pattern coat,34000,44000
337,HUGO BOSS,button basic pattern coat navy,39000,49000
338,BURBERRY,basic pattern skirt navy,24000,34000
339,JIL SANDER,strap basic pattern coat navy,39000,49000
340,BURBERRY,pocket basic pattern wool coat navy,39000,49000
341,BURBERRY,pintuck check pattern wool wide-pants brown,24000,34000
342,FENDI,geometric pattern H-Line dress brown,39000,49000
343,GIVENCHY,ribbon basic pattern H-Line dress black,39000,49000
344,BURBERRY,belt leopard print pattern coat black,39000,49000
345,MAX MARA,basic pattern skirt black,24000,34000
346,VALENTINO,pocket check pattern singlebreasted-jacket khaki,39000,49000
347,CELINE,button basic pattern coat brown,39000,49000
348,MAX MARA,basic pattern H-Line knit-dress,39000,49000
349,BURBERRY,button basic pattern jacket beige,39000,49000
350,SAINT LAURENT,button check pattern coat black,39000,49000
351,BURBERRY,belt check pattern trench-coat beige,39000,49000
352,MAX MARA,graphics pattern skirt brown,24000,34000
353,BURBERRY,check pattern skirt,24000,34000
354,HUGO BOSS,basic pattern t-shirts grey,24000,34000
355,GIVENCHY,belt graphics pattern coat,39000,49000
356,BURBERRY,pleats check pattern wool pleats-skirt,24000,34000
357,THOM BROWNE,roll up basic pattern slacks navy,24000,34000
358,"ZARA,FENDI","basic shirt,pattern skirt",39000,59000
359,BURBERRY,button basic pattern tank-top black,24000,34000
360,BURBERRY,button check pattern H-Line dress black,39000,49000
361,YVES SAINT LAURENT,lettering pattern sweat-shirts white,24000,34000
362,ISSEY MIYAKE,stripe pattern jacket black,39000,49000
363,HERMES,graphics pattern cashmere sweater,24000,34000
364,BURBERRY,button basic pattern wool zipup-jumper navy,39000,49000
365,BURBERRY,button check pattern dress brown,34000,44000
366,BURBERRY,button check pattern shirts beige,24000,34000
367,GUCCI,brooch check pattern H-Line dress ivory,39000,49000
368,ISSEY MIYAKE,basic pattern t-shirts multi,24000,34000
369,"JIL SANDER,JAMES JEANS","printing tee black,zipper point coating jeans",39000,59000
370,CHLOE,pocket basic pattern jacket gold,39000,49000
371,DOLCE & GABBANA,button basic pattern singlebreasted-jacket black,39000,49000
372,BURBERRY,button graphics pattern shirts pink,24000,34000
373,VALENTINO,pocket color block pattern zipup-jumper,39000,49000
374,"SONIA RYKIEL,ALEXANDER WANG","stripe ribbon kont cardigan brown,leather lace up short pants",38000,58000
375,GUCCI,button check pattern singlebreasted-coat red,39000,49000
376,"DOLCE & GABBANA,GIANNI LO GIUDICE","turtle neck knit ,button point slacks black",39000,59000
377,GUCCI,stripe pattern sweater,24000,34000
378,MAX MARA,pocket basic pattern slacks brown,19000,29000
379,"EL ESTILO DE CLAIRE,PRADA","ribbon fringe knit ,gored skirt",39000,59000
380,"DIANE VON FURSTENBERG,CELINE","chic leather jeans black ,belt velvet jacket",43000,63000
381,BURBERRY,button check pattern slacks grey,24000,34000
382,ALEXANDER MCQUEEN,pocket basic pattern jacket charcoal,39000,49000
383,"CHRISTIAN DIOR,CHRISTIAN DIOR","pin stripe vintage jacket,pin stripe skirt",38000,58000
384,SAINT LAURENT,pocket basic pattern doublebreasted-coat black,39000,49000
385,CHRISTIAN DIOR,pleats basic pattern wool wide-pants charcoal,24000,34000
386,FENDI,stitch basic pattern tank top bra-top white,24000,34000
387,PRADA,button basic pattern wool jacket black,39000,49000
388,CHLOE,button pointed sweater cream,19000,29000
389,SACAI,basic pattern wool sweater black,24000,34000
390,BURBERRY,button check pattern shirts brown,24000,34000
391,DOLCE & GABBANA,pocket basic pattern jacket beige,39000,49000
392,GIVENCHY,pleats basic pattern pleats-skirt black,24000,34000
393,AKRIS,button basic pattern singlebreasted-coat red,39000,49000
394,SORRY TOO MUCH LOVE,button dots pattern A-Line dress navy,34000,44000
395,RENEEVON,geometric pattern A-Line dress,29000,39000
396,BURBERRY,button check pattern H-Line dress black,39000,49000
397,YVES SAINT LAURENT,lettering pattern sweat-shirts white,24000,34000
398,ISSEY MIYAKE,stripe pattern jacket black,39000,49000
399,HERMES,graphics pattern cashmere sweater,24000,34000
400,BURBERRY,button basic pattern wool zipup-jumper navy,39000,49000
401,BURBERRY,button check pattern dress brown,34000,44000
402,BURBERRY,button check pattern shirts beige,24000,34000
403,GUCCI,brooch check pattern H-Line dress ivory,39000,49000
404,ISSEY MIYAKE,basic pattern t-shirts multi,24000,34000
405,"JIL SANDER,JAMES JEANS","printing tee black,zipper point coating jeans",39000,59000
406,CHLOE,pocket basic pattern jacket gold,39000,49000
407,DOLCE & GABBANA,button basic pattern singlebreasted-jacket black,39000,49000
408,BURBERRY,button graphics pattern shirts pink,24000,34000
409,VALENTINO,pocket color block pattern zipup-jumper,39000,49000
410,"SONIA RYKIEL,ALEXANDER WANG","stripe ribbon kont cardigan brown,leather lace up short pants",38000,58000
411,GUCCI,button check pattern singlebreasted-coat red,39000,49000
412,"DOLCE & GABBANA,GIANNI LO GIUDICE","turtle neck knit ,button point slacks black",39000,59000
413,GUCCI,stripe pattern sweater,24000,34000
414,MAX MARA,pocket basic pattern slacks brown,19000,29000
415,"EL ESTILO DE CLAIRE,PRADA","ribbon fringe knit ,gored skirt",39000,59000
416,"DIANE VON FURSTENBERG,CELINE","chic leather jeans black ,belt velvet jacket",43000,63000
417,BURBERRY,button check pattern slacks grey,24000,34000
418,ALEXANDER MCQUEEN,pocket basic pattern jacket charcoal,39000,49000
419,"CHRISTIAN DIOR,CHRISTIAN DIOR","pin stripe vintage jacket,pin stripe skirt",38000,58000
420,SAINT LAURENT,pocket basic pattern doublebreasted-coat black,39000,49000
421,CHRISTIAN DIOR,pleats basic pattern wool wide-pants charcoal,24000,34000
422,FENDI,stitch basic pattern tank top bra-top white,24000,34000
423,PRADA,button basic pattern wool jacket black,39000,49000
424,CHLOE,button pointed sweater cream,19000,29000
425,SACAI,basic pattern wool sweater black,24000,34000
426,BURBERRY,button check pattern shirts brown,24000,34000
427,DOLCE & GABBANA,pocket basic pattern jacket beige,39000,49000
428,GIVENCHY,pleats basic pattern pleats-skirt black,24000,34000
429,AKRIS,button basic pattern singlebreasted-coat red,39000,49000
430,SORRY TOO MUCH LOVE,button dots pattern A-Line dress navy,34000,44000
431,RENEEVON,geometric pattern A-Line dress,29000,39000
432,CELINE,round hem line sweater gray_1,19000,29000
433,DOLCE & GABBANA,button stripe pattern jacket navy,39000,49000
434,BURBERRY,pocket check pattern cape,39000,49000
435,HUGO BOSS,button basic pattern coat charcoal,39000,49000
436,PRADA,pocket basic pattern zipup-jumper black,39000,49000
437,PRADA,pocket basic pattern windbreaker white,39000,49000
438,BURBERRY,basic pattern cashmere top mint,24000,34000
439,CELINE,drop shoulder boxy coat,34000,44000
440,GUCCI,embroidery basic pattern t-shirts black,29000,39000
441,CHRISTIAN DIOR,button check pattern A-Line shirt-dress black,39000,49000
442,ETRO,button paisley print pattern blouse multi,19000,29000
443,"BURBERRY,BURBERRY","button basic pattern jacket ivory,button basic pattern skirt ivory",48000,68000
444,YVES SAINT LAURENT,check pattern wool sweater black,19000,29000
445,GUCCI,side shirring knit,19000,29000
446,MAISON MARGIELA,basic pattern t-shirts white,19000,29000
447,PRADA,pocket basic pattern jumper black,39000,49000
448,ETRO,basic pattern wool skirt black,24000,34000
449,ETRO,basic pattern top beige,24000,34000
